file,year,time,gender,negative,neutral,positive,negative percent,neutral percent,positive percent,total
full_2019_MA_after.csv,2019,1,M,119,194,655,0.12,0.20,0.68,968
full_2019_MA_before.csv,2019,0,M,0,7,14,0.00,0.33,0.67,21
full_2019_OC_after.csv,2019,1,W,43,120,837,0.04,0.12,0.84,1000
full_2019_OC_before.csv,2019,0,W,44,144,295,0.09,0.30,0.61,483
full_2019_RK_after.csv,2019,1,W,30,158,812,0.03,0.16,0.81,1000
full_2019_RK_before.csv,2019,0,W,32,217,751,0.03,0.22,0.75,1000
full_2019_RM_after.csv,2019,1,M,67,207,726,0.07,0.21,0.73,1000
full_2019_RM_before.csv,2019,0,M,117,264,619,0.12,0.26,0.62,1000
full_2020_BP_after.csv,2020,1,M,190,281,529,0.19,0.28,0.53,1000
full_2020_BP_before.csv,2020,0,M,107,359,534,0.11,0.36,0.53,1000
full_2020_JP_after.csv,2020,1,M,96,186,718,0.10,0.19,0.72,1000
full_2020_JP_before.csv,2020,0,M,73,348,579,0.07,0.35,0.58,1000
full_2020_LD_after.csv,2020,1,W,74,199,722,0.07,0.20,0.73,995
full_2020_LD_before.csv,2020,0,W,106,318,576,0.11,0.32,0.58,1000
full_2020_RZ_after.csv,2020,1,W,50,153,521,0.07,0.21,0.72,724
full_2020_RZ_before.csv,2020,0,W,41,213,333,0.07,0.36,0.57,587
full_2021_AH_after.csv,2021,1,M,224,255,521,0.22,0.26,0.52,1000
full_2021_AH_before.csv,2021,0,M,16,151,273,0.04,0.34,0.62,440
full_2021_DK_after.csv,2021,1,M,67,179,484,0.09,0.25,0.66,730
full_2021_DK_before.csv,2021,0,M,48,216,419,0.07,0.32,0.61,683
full_2021_FMD_after.csv,2021,1,W,109,243,648,0.11,0.24,0.65,1000
full_2021_FMD_before.csv,2021,0,W,13,118,141,0.05,0.43,0.52,272
full_2021_YYJ_after.csv,2021,1,W,20,58,182,0.08,0.22,0.70,260
full_2021_YYJ_before.csv,2021,0,W,12,97,132,0.05,0.40,0.55,241
full_2022_ADB_after.csv,2022,1,W,58,125,583,0.08,0.16,0.76,766
full_2022_ADB_before.csv,2022,0,W,59,313,628,0.06,0.31,0.63,1000
full_2022_JC_after.csv,2022,1,W,70,211,719,0.07,0.21,0.72,1000
full_2022_JC_before.csv,2022,0,W,76,325,599,0.08,0.33,0.60,1000
full_2022_TK_after.csv,2022,1,M,53,159,570,0.07,0.20,0.73,782
full_2022_TK_before.csv,2022,0,M,16,134,215,0.04,0.37,0.59,365
full_2022_WS_after.csv,2022,1,M,165,396,439,0.17,0.40,0.44,1000
full_2022_WS_before.csv,2022,0,M,90,388,522,0.09,0.39,0.52,1000
full_2023_BF_after.csv,2023,1,M,59,82,163,0.19,0.27,0.54,304
full_2023_BF_before.csv,2023,0,M,100,355,545,0.10,0.36,0.55,1000
full_2023_JLC_after.csv,2023,1,W,258,300,442,0.26,0.30,0.44,1000
full_2023_JLC_before.csv,2023,0,W,137,358,505,0.14,0.36,0.51,1000
full_2023_KHQ_after.csv,2023,1,M,47,200,753,0.05,0.20,0.75,1000
full_2023_KHQ_before.csv,2023,0,M,50,335,615,0.05,0.34,0.62,1000
full_2023_MY_after.csv,2023,1,W,95,219,351,0.14,0.33,0.53,665
full_2023_MY_before.csv,2023,0,W,86,314,600,0.09,0.31,0.60,1000